Postal Code,Customer Class,Service Connections
78722,Irrigation - Commercial,33
78750,City of Austin,8
78702,City of Austin,52
78721,Austin Water Utility,4
78727,Irrigation - Multi-Family,32
78653,Irrigation - Multi-Family,1
78753,Multi-Family,190
78750,Commercial,174
78717,Irrigation - City of Austin,1
78701,Irrigation - Residential,1
78714,Irrigation - Commercial,1
78728,Commercial,209
78757,Commercial,652
78660,Irrigation - Residential,4
78759,Irrigation - Multi-Family,19
78751,Multi-Family,333
78703,Irrigation - Commercial,94
78717,Commercial,120
78750,Irrigation - Residential,3
78746,Irrigation - Multi-Family,11
78753,Residential,8031
78759,Irrigation - Commercial,212
78722,Irrigation - City of Austin,5
78731,Residential,7702
78753,Commercial,663
78727,Irrigation - Commercial,108
78705,Austin Water Utility,1
78723,Residential,8243
78724,Irrigation - Multi-Family,9
78759,Commercial,495
78729,Residential,4402
78613,Austin Water Utility,1
78735,Commercial,179
78702,Irrigation - Residential,5
78766,Commercial,1
78749,Irrigation - Commercial,143
78735,Wholesale,3
78704,Commercial,963
78746,Residential,3839
78745,Multi-Family,341
78751,Irrigation - Commercial,43
78750,Multi-Family,53
78750,Austin Water Utility,6
78701,Residential,178
78747,Irrigation - Commercial,35
78736,Commercial,52
78754,Irrigation - Residential,5
78732,Residential,2
78731,Commercial,270
78733,Residential,3
78752,Irrigation - City of Austin,2
78660,Wholesale,8
78736,Irrigation - Multi-Family,7
78730,Irrigation - Multi-Family,10
78739,Commercial,26
78741,City of Austin,14
78759,City of Austin,4
78704,Multi-Family,808
78731,Irrigation - Commercial,104
78702,Austin Water Utility,1
78730,Commercial,62
78721,Irrigation - City of Austin,6
78701,Austin Water Utility,1
78756,Commercial,436
78749,Irrigation - City of Austin,2
78738,Residential,1
78739,City of Austin,1
78731,Irrigation - City of Austin,7
78750,Irrigation - Multi-Family,13
78757,Multi-Family,239
78742,Commercial,31
78759,Austin Water Utility,2
78701,City of Austin,37
78759,Irrigation - City of Austin,2
78705,Commercial,552
78704,Residential,9740
78721,Irrigation - Multi-Family,8
78660,Multi-Family,20
78728,Multi-Family,24
78752,Irrigation - Commercial,74
78744,Irrigation - City of Austin,12
78722,Residential,2040
78745,Commercial,766
78719,Irrigation - Commercial,11
78759,Multi-Family,139
78725,Residential,742
78730,Multi-Family,11
78744,Residential,9458
78726,Commercial,76
78737,Wholesale,1
78705,Large Volume,3
78741,Multi-Family,325
78752,Residential,2782
78729,Irrigation - Commercial,98
78653,Residential,446
78757,Irrigation - Multi-Family,12
78748,Commercial,336
78702,Residential,6482
78719,City of Austin,18
78753,Irrigation - Multi-Family,44
78739,Irrigation - Commercial,56
78745,City of Austin,12
78617,Residential,3531
78741,Commercial,323
78723,Irrigation - Commercial,122
78653,Commercial,21
78748,Wholesale,2
78756,Irrigation - Multi-Family,12
78746,Commercial,116
