Year Month,Postal Code,Customer Class,Total Gallons
201611,78681,Irrigation - Commercial,144900
201409,78756,Austin Water Utility,27300
201704,78704,Irrigation - Commercial,3918700
201610,78613,Irrigation - Commercial,1787000
201404,78737,Wholesale,532100
201612,78731,Austin Water Utility,0
201201,78728,Irrigation - Commercial,1144600
201312,78704,Irrigation - City of Austin,102200
201412,78724,Irrigation - City of Austin,0
201302,78746,Commercial,10262700
201201,78701,Irrigation - City of Austin,691500
201301,78735,City of Austin,285100
201303,78744,Austin Water Utility,654100
201501,78751,City of Austin,50800
201208,78704,Irrigation - City of Austin,168300
201507,78613,Commercial,4669600
201503,78744,Irrigation - City of Austin,740100
201608,78739,Wholesale,30036400
201206,78704,City of Austin,4998200
201404,78704,Austin Water Utility,10000
201702,78722,Irrigation - City of Austin,4100
201305,78702,Austin Water Utility,60000
201401,78730,Irrigation - Commercial,1504400
201709,78712,Irrigation - Large Volume,27986000
201309,78746,Commercial,17509300
201305,78725,Large Volume,31018000
201608,78704,Austin Water Utility,9500
201311,78728,Large Volume,3055000
201311,78728,Wholesale,40441500
201509,78617,Irrigation - City of Austin,0
201409,78704,Commercial,40034500
201606,78752,Irrigation - City of Austin,0
201303,78723,Irrigation - City of Austin,25300
201406,78744,City of Austin,478900
201304,78725,Wholesale,1263200
201411,78724,Irrigation - City of Austin,100
201707,78701,Irrigation - Commercial,4827600
201502,78722,Irrigation - Commercial,356300
201306,78754,Large Volume,129582800
201605,78719,Austin Water Utility,89500
201509,78705,City of Austin,120100
201511,78724,Irrigation - City of Austin,0
201511,78652,Irrigation - Commercial,637100
201402,78754,Irrigation - City of Austin,0
201502,78742,Austin Water Utility,0
201407,78744,Irrigation - City of Austin,3425500
201207,78702,Austin Water Utility,67000
201201,78704,Irrigation - Commercial,1991300
201402,78702,Irrigation - Commercial,860500
201610,78724,Austin Water Utility,2389100
201510,78729,City of Austin,8400
201306,78717,Irrigation - Commercial,7535400
201508,78702,Austin Water Utility,75000
201603,78752,Austin Water Utility,0
201203,78741,Austin Water Utility,94000
201212,78758,Irrigation - City of Austin,2229000
201501,78756,Austin Water Utility,8700
201212,78748,Wholesale,876600
201403,78756,Irrigation - City of Austin,0
201701,78704,Commercial,31413500
201405,78742,Austin Water Utility,0
201301,78729,Wholesale,28554900
201602,78652,Commercial,518800
201404,78731,Austin Water Utility,0
201705,78752,Irrigation - City of Austin,0
201501,78729,Wholesale,26579900
201206,78660,Irrigation - Commercial,2862800
201507,78727,City of Austin,32900
201506,78754,Irrigation - City of Austin,0
201211,78724,Irrigation - City of Austin,0
201601,78745,Irrigation - City of Austin,47200
201707,78704,Irrigation - City of Austin,458700
201312,78729,Commercial,10279200
201306,78617,City of Austin,8050500
201702,78744,City of Austin,449200
201209,78704,Irrigation - Commercial,9809100
201409,78758,Irrigation - City of Austin,3172300
201205,78728,Commercial,3643300
201312,78712,Irrigation - Large Volume,11039300
201203,78746,Irrigation - Commercial,1584300
201404,78728,Wholesale,25796300
201707,78732,Austin Water Utility,0
201310,78754,City of Austin,316400
201504,78702,Austin Water Utility,35000
201609,78737,Wholesale,816300
201207,78704,Commercial,41135800
201304,78756,Irrigation - City of Austin,0
201307,78729,Irrigation - Commercial,7381800
201212,78701,Irrigation - City of Austin,1112000
201705,78748,Irrigation - City of Austin,100
201206,78617,City of Austin,12002600
201401,78727,Irrigation - City of Austin,14000
201205,78719,City of Austin,3590100
201703,78735,Large Volume,20013000
201302,78717,Irrigation - Commercial,3519400
201409,78717,Irrigation - City of Austin,15800
201706,78652,Irrigation - Commercial,888100
201411,78729,Commercial,13183100
201601,78735,City of Austin,284000
201312,78717,Irrigation - Commercial,3163600
201612,78719,City of Austin,3482100
201310,78701,City of Austin,9448500
201512,78735,City of Austin,252000
201706,78741,City of Austin,5055400
201207,78705,City of Austin,289100
201204,78726,City of Austin,301000
201406,78735,City of Austin,263000
201703,78717,Commercial,6623100
201311,78737,Wholesale,549400
201511,78723,Irrigation - City of Austin,30500
201212,78725,Wholesale,1092900
201304,78728,Wholesale,36361500
201503,78719,Austin Water Utility,592800
201703,78741,Large Volume,33617200
201610,78723,Austin Water Utility,33000
201301,78722,Irrigation - City of Austin,2200
201309,78754,Large Volume,168031800
201402,78660,Wholesale,19768900
201406,78717,City of Austin,7100
201412,78726,City of Austin,8000
201401,78704,City of Austin,772100
201310,78727,Irrigation - City of Austin,12900
201404,78754,Irrigation - City of Austin,0
201412,78754,Irrigation - City of Austin,13000
201511,78681,Irrigation - Commercial,210700
201511,78724,City of Austin,6656900
201602,78723,Austin Water Utility,39300
201204,78739,Wholesale,10127700
201406,78724,Irrigation - Commercial,5325400
201604,78723,Irrigation - City of Austin,99100
201210,78744,Irrigation - City of Austin,1453700
201403,78701,City of Austin,4270900
201705,78737,Wholesale,611800
201310,78703,Irrigation - City of Austin,166800
201406,78719,Austin Water Utility,793500
201408,78747,Austin Water Utility,8200
201607,78726,Commercial,7863600
201206,78712,Irrigation - Large Volume,22902900
201502,78719,Irrigation - Commercial,495100
201303,78719,Wholesale,1463000
201704,78703,Austin Water Utility,11700
201206,78724,City of Austin,5601700
201507,78744,Irrigation - Commercial,5448100
201512,78652,Irrigation - Commercial,764700
201408,78749,Irrigation - City of Austin,3100
201708,78728,Commercial,13993500
201205,78653,Wholesale,1000
201406,78744,Irrigation - City of Austin,3737200
201303,78746,Irrigation - Commercial,2587100
201311,78724,City of Austin,4139600
201310,78723,Austin Water Utility,300
201301,78726,City of Austin,12000
201304,78753,Irrigation - City of Austin,47700
201302,78719,Irrigation - City of Austin,0
201411,78653,Wholesale,0
201204,78617,Irrigation - Commercial,334900
201410,78742,Irrigation - Commercial,52200
201204,78729,Wholesale,28122400
201610,78753,Irrigation - City of Austin,69300
201405,78701,Austin Water Utility,161000
201604,78752,Austin Water Utility,0
201707,78617,Austin Water Utility,554200
201611,78724,Irrigation - City of Austin,0
201604,78723,Austin Water Utility,36100
201505,78752,Austin Water Utility,0
201403,78735,Wholesale,329200
201206,78746,City of Austin,1923900
201209,78613,Commercial,3246100
201404,78729,Irrigation - City of Austin,0
201706,78653,Wholesale,0
201606,78724,Austin Water Utility,1461000
201405,78725,City of Austin,241500
201201,78742,Irrigation - Commercial,39900
201301,78719,Wholesale,1389200
201506,78652,Irrigation - Commercial,93200
201303,78751,Irrigation - City of Austin,903300
201501,78744,Austin Water Utility,452800
201403,78723,Austin Water Utility,24100
201205,78739,Irrigation - City of Austin,9000
201501,78653,Wholesale,0
201404,78719,City of Austin,2924400
201502,78728,Irrigation - Commercial,682400
201704,78756,Austin Water Utility,24000
201201,78613,Commercial,2880800
201312,78735,City of Austin,258000
201407,78746,City of Austin,1654500
201601,78729,Commercial,11272900
201202,78746,Irrigation - City of Austin,358800
201207,78717,City of Austin,0
201605,78724,Irrigation - City of Austin,0
201510,78717,Irrigation - City of Austin,0
201203,78613,Irrigation - Commercial,916700
201302,78741,Austin Water Utility,127400
201708,78735,City of Austin,94000
201707,78739,Irrigation - City of Austin,3000
201612,78681,Irrigation - Commercial,51700
201311,78617,Irrigation - City of Austin,0
201708,78726,City of Austin,114700
201709,78735,City of Austin,104100
201405,78726,Austin Water Utility,0
201209,78701,Austin Water Utility,351000
201210,78701,Irrigation - City of Austin,1144400
201309,78746,Irrigation - Commercial,6251700
201401,78723,Irrigation - City of Austin,66300
201307,78742,Austin Water Utility,1172500
201505,78735,Austin Water Utility,3000
201606,78746,Austin Water Utility,657600
201207,78735,Large Volume,18939000
201206,78728,Wholesale,47535400
201707,78719,Irrigation - Commercial,1514900
201504,78731,Austin Water Utility,0
201611,78702,Austin Water Utility,113000
201310,78719,City of Austin,4041500
201510,78754,City of Austin,406100
201503,78702,Irrigation - City of Austin,813500
201505,78726,City of Austin,9000
201307,78746,Commercial,14772600
201412,78741,Irrigation - Commercial,2355700
201402,78741,Irrigation - Commercial,918000
201311,78719,Wholesale,1635500
201507,78717,Irrigation - Commercial,5314900
201509,78741,Large Volume,33753900
201501,78729,Commercial,11362900
201412,78729,Commercial,10791300
201701,78731,Austin Water Utility,0
201705,78725,Large Volume,34396000
201604,78751,City of Austin,64800
201408,78725,Irrigation - Commercial,145900
201306,78744,City of Austin,498800
201512,78751,City of Austin,44100
201202,78751,Irrigation - City of Austin,367000
201311,78754,Irrigation - City of Austin,0
201211,78701,Austin Water Utility,150000
201507,78758,Irrigation - City of Austin,3118400
201405,78705,Irrigation - City of Austin,50200
201702,78660,Wholesale,19496600
201401,78758,Irrigation - City of Austin,1329000
201209,78617,Austin Water Utility,86400
201510,78701,Irrigation - Commercial,3997500
201301,78704,Commercial,32246600
201408,78735,Large Volume,31854000
201611,78704,Irrigation - City of Austin,379500
201705,78754,Austin Water Utility,47100
201503,78741,Austin Water Utility,0
201404,78723,Austin Water Utility,64700
201311,78750,Irrigation - City of Austin,74800
201704,78754,City of Austin,316100
201512,78735,Large Volume,27562500
201307,78703,Austin Water Utility,10900
201608,78703,Irrigation - City of Austin,1358300
201406,78719,City of Austin,1124000
201604,78727,City of Austin,21200
201508,78739,Austin Water Utility,0
201402,78717,Irrigation - Commercial,1533300
201207,78719,Wholesale,1910800
201305,78712,Irrigation - Large Volume,18158000
201601,78719,City of Austin,2732300
201302,78725,Large Volume,29198000
201212,78746,Irrigation - Commercial,4640900
201501,78729,Irrigation - Commercial,3557600
201412,78746,Irrigation - City of Austin,32000
201701,78751,Irrigation - City of Austin,10000
201410,78735,Wholesale,438500
201605,78613,Irrigation - Commercial,1654900
201508,78745,Irrigation - City of Austin,39500
201601,78724,Irrigation - City of Austin,0
201304,78746,City of Austin,964700
201702,78701,Irrigation - City of Austin,464900
201211,78741,Irrigation - City of Austin,1686200
201601,78752,Irrigation - City of Austin,0
201704,78735,Wholesale,333200
201205,78660,Wholesale,27251400
201307,78754,Austin Water Utility,345600
201609,78744,Austin Water Utility,339700
201504,78746,Irrigation - City of Austin,14000
201611,78731,Austin Water Utility,0
201207,78748,Wholesale,675300
201306,78728,Large Volume,3415000
201708,78741,Large Volume,35504700
201701,78729,Wholesale,34769400
201603,78727,City of Austin,22100
201503,78703,Irrigation - City of Austin,209500
201309,78617,City of Austin,20757700
201507,78735,Large Volume,27347900
201509,78704,Austin Water Utility,7400
201606,78719,Austin Water Utility,89500
201311,78758,Irrigation - City of Austin,3746000
201704,78727,City of Austin,19900
201602,78754,Irrigation - City of Austin,97500
201607,78735,City of Austin,223000
201305,78724,City of Austin,3932100
201405,78730,Irrigation - Commercial,2885400
201303,78744,Irrigation - City of Austin,1712100
201202,78701,Irrigation - Commercial,816300
201512,78744,Austin Water Utility,423300
201504,78746,Wholesale,50993600
201510,78742,Austin Water Utility,0
201312,78741,City of Austin,440400
201509,78719,Irrigation - City of Austin,1087700
201703,78660,Austin Water Utility,0
201310,78729,City of Austin,11300
201601,78742,Irrigation - Commercial,123000
201503,78723,Austin Water Utility,25800
201207,78754,City of Austin,396900
201506,78660,Wholesale,21019000
201507,78617,Austin Water Utility,162700
201609,78742,Austin Water Utility,0
201508,78727,City of Austin,34400
201309,78730,Irrigation - Commercial,4229200
201707,78703,Irrigation - City of Austin,965600
201602,78727,City of Austin,23000
201707,78653,Wholesale,0
201602,78717,Irrigation - City of Austin,0
201301,78712,Irrigation - Large Volume,15156700
201508,78660,Wholesale,30275300
201605,78613,Commercial,3821600
201408,78724,Irrigation - City of Austin,0
201212,78726,Commercial,7036800
201302,78750,Irrigation - Commercial,3630400
201706,78729,Irrigation - City of Austin,79900
201401,78613,City of Austin,0
201709,78719,Wholesale,1905900
201208,78744,Irrigation - City of Austin,2594100
201708,78717,City of Austin,181300
201407,78701,City of Austin,11231200
201402,78723,Austin Water Utility,188100
201610,78613,Austin Water Utility,19800
201212,78717,City of Austin,0
201604,78759,Irrigation - City of Austin,700
201503,78701,Irrigation - Commercial,1039200
201311,78754,City of Austin,283900
201506,78712,Irrigation - Large Volume,13984000
201305,78704,Austin Water Utility,19400
201611,78717,City of Austin,126100
201301,78617,City of Austin,7420500
201205,78719,Austin Water Utility,264900
201701,78741,Irrigation - City of Austin,3814500
201309,78701,City of Austin,11904600
201610,78754,Austin Water Utility,95700
201303,78742,Irrigation - Commercial,25300
201212,78712,Irrigation - Large Volume,17523000
201202,78741,Austin Water Utility,0
201708,78702,Irrigation - Commercial,4409000
201511,78737,Wholesale,523600
201206,78750,Irrigation - City of Austin,103600
201305,78727,Irrigation - City of Austin,0
201305,78724,Irrigation - City of Austin,0
201707,78737,Wholesale,737800
201303,78701,City of Austin,4490000
201505,78746,Commercial,11682400
201211,78729,City of Austin,14400
201705,78751,City of Austin,60900
201312,78728,Wholesale,33382000
201201,78617,City of Austin,6500300
201606,78735,Large Volume,25765000
201302,78727,City of Austin,26900
201501,78617,City of Austin,2333400
201502,78701,City of Austin,3986700
201612,78744,Irrigation - City of Austin,727600
201705,78705,City of Austin,126000
201209,78728,Wholesale,55909200
201609,78746,Austin Water Utility,657500
201405,78726,Commercial,6946000
201410,78727,Irrigation - City of Austin,7000
201309,78735,Large Volume,25808500
201305,78652,Commercial,210000
201410,78742,Austin Water Utility,0
201503,78652,Irrigation - Commercial,18200
201402,78741,Irrigation - City of Austin,115500
201705,78719,City of Austin,4844800
201202,78653,Wholesale,0
201605,78652,Commercial,255000
201607,78742,Austin Water Utility,0
201406,78754,Austin Water Utility,119500
201308,78742,Austin Water Utility,1510300
201502,78727,Irrigation - City of Austin,10400
201702,78752,Irrigation - City of Austin,0
201608,78729,City of Austin,9000
201602,78660,Wholesale,19458700
201502,78751,Irrigation - City of Austin,1400
201306,78701,Irrigation - Commercial,3011000
201402,78719,Wholesale,1286100
201609,78724,Irrigation - City of Austin,0
201407,78617,Irrigation - City of Austin,0
201201,78717,Irrigation - Commercial,3921900
201607,78728,Irrigation - Commercial,3217000
201606,78729,City of Austin,11600
201404,78731,Irrigation - City of Austin,47800
201403,78739,Wholesale,9449700
201209,78744,Irrigation - City of Austin,2642100
201208,78701,Irrigation - City of Austin,1027500
201607,78728,Wholesale,39576900
201205,78705,City of Austin,84700
201511,78617,Austin Water Utility,68000
201510,78725,Large Volume,34602300
201210,78704,Irrigation - Commercial,5765200
201502,78660,Wholesale,18466600
201205,78750,Austin Water Utility,511400
201405,78728,Commercial,3656700
201504,78723,Irrigation - Commercial,2712600
201603,78729,Commercial,12318400
201709,78752,Irrigation - City of Austin,0
201405,78660,Wholesale,22641400
201507,78617,Irrigation - City of Austin,0
201408,78726,City of Austin,10000
201412,78754,Austin Water Utility,25200
201203,78701,City of Austin,5562800
201505,78729,Commercial,11380600
201704,78728,Commercial,12394400
201307,78724,Irrigation - City of Austin,0
201612,78758,Irrigation - City of Austin,1049800
201202,78724,Irrigation - City of Austin,0
201505,78724,Irrigation - Commercial,3116200
201302,78719,City of Austin,2493500
201509,78617,City of Austin,1575800
201202,78758,Irrigation - City of Austin,1832900
201508,78744,Austin Water Utility,643800
201403,78730,Irrigation - Commercial,1480500
201210,78704,Commercial,36035800
201408,78717,Commercial,7655300
201411,78754,Austin Water Utility,109600
201407,78719,Irrigation - Commercial,689300
201602,78726,Austin Water Utility,0
201212,78741,Large Volume,43104400
201302,78730,Irrigation - Commercial,1659800
201412,78741,Austin Water Utility,0
201306,78717,Commercial,4902400
201203,78728,Commercial,4162000
201703,78701,City of Austin,7256000
201501,78744,City of Austin,318100
201607,78744,Austin Water Utility,322300
201704,78724,Austin Water Utility,811200
201612,78735,Large Volume,19777000
201504,78724,Irrigation - Commercial,2519200
201310,78613,City of Austin,0
201405,78751,City of Austin,72400
201602,78757,Irrigation - City of Austin,33600
201604,78729,Commercial,11865700
201204,78759,Austin Water Utility,0
201704,78652,Irrigation - Commercial,164400
201412,78746,Austin Water Utility,0
201405,78746,Commercial,11764700
201512,78741,Irrigation - Commercial,1910900
201508,78704,Austin Water Utility,6800
201204,78728,Irrigation - Commercial,1970600
201402,78705,Irrigation - City of Austin,129200
201509,78705,Irrigation - City of Austin,11100
201403,78717,Irrigation - City of Austin,23800
201408,78704,City of Austin,2170800
201204,78717,Irrigation - Commercial,3663800
201406,78704,Austin Water Utility,10600
201307,78617,Irrigation - City of Austin,8000
201604,78727,Irrigation - City of Austin,0
201702,78712,Irrigation - Large Volume,12257000
201605,78701,Austin Water Utility,139000
201602,78719,Wholesale,1213700
201602,78735,City of Austin,250100
201602,78759,Irrigation - City of Austin,100
201308,78746,Commercial,17602400
201604,78719,Irrigation - City of Austin,233600
201212,78719,Irrigation - City of Austin,376100
201705,78731,Austin Water Utility,0
201511,78729,Wholesale,41785300
201503,78613,Irrigation - Commercial,688400
201401,78703,Austin Water Utility,46700
201412,78731,Austin Water Utility,0
201202,78704,Commercial,36131100
201309,78703,Irrigation - City of Austin,260200
201311,78725,City of Austin,188000
201703,78717,Austin Water Utility,100
201405,78746,Irrigation - Commercial,2596300
201405,78751,Irrigation - City of Austin,5000
201609,78735,Large Volume,23293000
201406,78756,Irrigation - City of Austin,0
201208,78726,City of Austin,451000
201611,78748,City of Austin,66000
201310,78725,City of Austin,30100
201401,78724,Austin Water Utility,0
201301,78613,Commercial,5042500
201610,78727,Irrigation - City of Austin,7000
201205,78756,Irrigation - City of Austin,0
201402,78704,Irrigation - Commercial,2104200
201410,78617,Irrigation - City of Austin,0
201407,78725,Wholesale,962000
201605,78703,Austin Water Utility,13100
201509,78704,Irrigation - Commercial,8662900
201602,78725,City of Austin,336200
201611,78717,Irrigation - City of Austin,0
201404,78735,Large Volume,22577000
201507,78702,Irrigation - City of Austin,405100
201506,78731,Irrigation - City of Austin,3300
201609,78727,City of Austin,29000
201706,78712,Irrigation - Large Volume,19087000
201603,78719,Wholesale,1506000
201409,78742,Austin Water Utility,0
201504,78754,City of Austin,336500
201306,78753,Irrigation - City of Austin,606900
201708,78746,Wholesale,137951400
201602,78739,Wholesale,9188000
201208,78746,Wholesale,135655600
201401,78739,Irrigation - City of Austin,0
201610,78751,City of Austin,49500
201206,78724,Irrigation - Commercial,5452500
201510,78719,City of Austin,4145500
201704,78744,City of Austin,953000
201308,78729,Irrigation - Commercial,8856200
201307,78726,Irrigation - Commercial,3825300
201310,78730,Irrigation - Commercial,4313100
201502,78737,Irrigation - Commercial,87400
201209,78653,Wholesale,0
201410,78726,Commercial,7205500
201311,78653,Wholesale,0
201509,78703,Irrigation - City of Austin,272400
201512,78722,Irrigation - City of Austin,12900
201203,78756,Austin Water Utility,63200
201205,78653,Irrigation - Commercial,482200
201407,78701,Irrigation - City of Austin,788200
201603,78739,Wholesale,11322200
201602,78653,Wholesale,0
201202,78719,Irrigation - Commercial,351200
201407,78741,Large Volume,37461000
201501,78746,Austin Water Utility,153600
201602,78701,Irrigation - City of Austin,603800
201404,78617,Austin Water Utility,41800
201409,78744,Austin Water Utility,442200
201207,78756,Irrigation - City of Austin,0
201401,78726,Austin Water Utility,0
201703,78741,Austin Water Utility,65500
201707,78758,Irrigation - City of Austin,1858900
201301,78754,Irrigation - City of Austin,0
201605,78741,City of Austin,406300
201605,78681,Irrigation - Commercial,0
201210,78717,City of Austin,0
201201,78729,Irrigation - Commercial,2058500
201204,78704,Irrigation - Commercial,2862600
201303,78724,Irrigation - City of Austin,0
201506,78741,Austin Water Utility,0
201212,78729,City of Austin,10700
201704,78742,Irrigation - Commercial,50300
201404,78701,Austin Water Utility,110000
201504,78735,Austin Water Utility,0
201504,78726,Austin Water Utility,0
201211,78748,Wholesale,806100
201209,78754,Austin Water Utility,56700
201703,78652,Irrigation - Commercial,182300
201407,78741,Irrigation - City of Austin,926500
201703,78746,Wholesale,57758700
201310,78744,Austin Water Utility,668400
201303,78701,Austin Water Utility,140000
201406,78754,Large Volume,120134800
201503,78702,Austin Water Utility,41000
201310,78726,Irrigation - Commercial,5429300
201707,78719,Austin Water Utility,625700
201506,78759,Austin Water Utility,0
201202,78752,Irrigation - City of Austin,0
201404,78721,Irrigation - City of Austin,19800
201310,78726,Austin Water Utility,0
201709,78719,Irrigation - City of Austin,546300
201407,78702,Austin Water Utility,37000
201502,78703,Irrigation - City of Austin,84700
201512,78727,Irrigation - City of Austin,47600
201212,78617,Irrigation - City of Austin,81000
201612,78729,Wholesale,32830200
201312,78729,Wholesale,24294600
201408,78721,Irrigation - Commercial,696600
201404,78735,Austin Water Utility,0
201303,78735,Austin Water Utility,0
201506,78746,Wholesale,57543300
201402,78719,City of Austin,2750600
201505,78701,Irrigation - Commercial,1356600
201709,78742,Irrigation - Commercial,189400
201501,78719,Austin Water Utility,751900
201701,78737,Wholesale,461600
201706,78724,Austin Water Utility,1150200
201507,78725,City of Austin,380200
201504,78681,Irrigation - Commercial,90200
201208,78735,City of Austin,261000
201311,78735,Wholesale,400900
201306,78754,City of Austin,421500
201411,78746,City of Austin,1650400
201605,78725,Large Volume,34552000
201406,78725,Irrigation - Commercial,98300
201501,78753,Irrigation - City of Austin,254400
201401,78726,Commercial,6378800
201303,78652,Commercial,148800
201404,78727,Irrigation - City of Austin,0
201610,78746,Wholesale,111304600
201703,78725,Irrigation - Commercial,94500
201312,78744,City of Austin,451600
201612,78756,Austin Water Utility,46300
201604,78660,Wholesale,21840300
201305,78747,Austin Water Utility,623000
201512,78727,City of Austin,21000
201304,78702,Austin Water Utility,41000
201205,78729,Irrigation - City of Austin,0
201705,78613,Commercial,3868900
201501,78725,Large Volume,68383000
201609,78752,Austin Water Utility,0
201510,78741,Large Volume,34239100
201409,78741,Austin Water Utility,0
201407,78739,Irrigation - City of Austin,15800
201602,78748,Wholesale,405000
201410,78731,Irrigation - City of Austin,12000
201412,78728,Wholesale,31324000
201207,78746,Irrigation - City of Austin,87000
201201,78721,Irrigation - Commercial,339300
201208,78739,Wholesale,19778700
201405,78724,Irrigation - Commercial,4379800
201202,78725,City of Austin,26000
201209,78746,City of Austin,2133900
201512,78754,City of Austin,264800
201708,78756,Austin Water Utility,46900
201509,78617,Irrigation - Commercial,2391000
201509,78756,Irrigation - City of Austin,0
201510,78758,Irrigation - City of Austin,2362500
201212,78719,City of Austin,2820000
201401,78703,Irrigation - City of Austin,61000
201211,78617,Austin Water Utility,83500
201702,78754,Irrigation - City of Austin,27200
201509,78754,City of Austin,508000
201602,78617,Irrigation - City of Austin,0
201507,78754,Large Volume,150098500
201306,78730,Irrigation - Commercial,3400100
201408,78754,Irrigation - City of Austin,92900
201304,78739,Irrigation - City of Austin,7500
201407,78717,Irrigation - City of Austin,15600
201404,78617,Irrigation - Commercial,1227100
201507,78717,City of Austin,51100
201611,78744,Austin Water Utility,243700
201207,78750,Irrigation - City of Austin,143600
201410,78756,Irrigation - City of Austin,0
201607,78741,Irrigation - Commercial,5045100
201606,78703,Austin Water Utility,13500
201507,78702,Irrigation - Commercial,2040400
201311,78717,City of Austin,7600
201503,78728,Commercial,8241200
201404,78726,Commercial,6091700
201205,78744,Irrigation - City of Austin,1993000
201205,78726,Irrigation - Commercial,2719500
201706,78747,Austin Water Utility,0
201307,78724,Irrigation - Commercial,5947500
201608,78704,Commercial,39102700
201307,78660,Irrigation - Commercial,2834500
201306,78717,Irrigation - City of Austin,17400
201606,78727,Irrigation - City of Austin,0
201403,78741,Irrigation - City of Austin,230500
201511,78719,Austin Water Utility,636000
201306,78729,Commercial,11390200
201605,78726,Austin Water Utility,0
201505,78754,City of Austin,317100
201309,78717,Irrigation - City of Austin,37600
201605,78739,Wholesale,11804000
201503,78722,Irrigation - Commercial,480600
201304,78741,Austin Water Utility,56700
201610,78724,Irrigation - Commercial,4490300
201612,78749,Irrigation - City of Austin,119400
201407,78725,Irrigation - Commercial,129000
201509,78681,Irrigation - Commercial,0
201309,78751,Irrigation - City of Austin,2700
201706,78744,City of Austin,1096800
201207,78719,Irrigation - Commercial,776900
201209,78652,Commercial,273900
201709,78751,Irrigation - City of Austin,9200
201310,78741,City of Austin,663900
201211,78750,Irrigation - Commercial,7101500
201303,78719,Irrigation - Commercial,506900
201505,78744,Irrigation - Commercial,4570700
201308,78613,City of Austin,0
201201,78729,City of Austin,12900
201604,78721,Irrigation - City of Austin,10000
201507,78723,Austin Water Utility,41600
201410,78719,Austin Water Utility,592100
201708,78746,Irrigation - City of Austin,68000
201602,78746,Austin Water Utility,561800
201507,78729,Irrigation - City of Austin,0
201603,78701,Irrigation - Commercial,4100300
201609,78754,Austin Water Utility,346000
201501,78704,Irrigation - Commercial,2414100
201511,78719,City of Austin,2986200
201409,78752,Irrigation - City of Austin,0
201509,78726,Austin Water Utility,0
201311,78701,City of Austin,5471400
201207,78754,Irrigation - City of Austin,0
201312,78660,Wholesale,20477500
201506,78729,Commercial,10783100
201404,78725,City of Austin,248300
201306,78701,Irrigation - City of Austin,897600
201207,78753,Irrigation - City of Austin,626000
201203,78660,Wholesale,23972600
201409,78731,Austin Water Utility,0
201312,78722,Irrigation - City of Austin,893700
201312,78739,Wholesale,11001400
201511,78722,Irrigation - City of Austin,9000
201411,78759,Irrigation - City of Austin,400
201211,78724,City of Austin,5198600
201503,78746,Austin Water Utility,495400
201310,78723,Irrigation - City of Austin,228500
201605,78723,Irrigation - City of Austin,21300
201203,78704,Austin Water Utility,52100
201206,78725,Large Volume,32939000
201210,78746,Commercial,13581900
201503,78726,Austin Water Utility,0
201403,78701,Austin Water Utility,80000
201601,78744,City of Austin,324600
201707,78617,City of Austin,714200
201210,78754,Irrigation - City of Austin,0
201401,78735,Austin Water Utility,0
201505,78702,Irrigation - City of Austin,350500
201305,78753,Irrigation - City of Austin,63700
201509,78744,City of Austin,624200
201502,78617,Austin Water Utility,46500
201502,78752,Irrigation - City of Austin,0
201604,78717,City of Austin,86900
201410,78728,Wholesale,41748500
201502,78725,Large Volume,33359000
201203,78735,City of Austin,280000
201605,78756,Austin Water Utility,29100
201505,78617,Irrigation - Commercial,820800
201306,78727,City of Austin,30100
201503,78617,Irrigation - Commercial,343600
201703,78746,Irrigation - City of Austin,96000
201505,78735,City of Austin,285000
201410,78746,Irrigation - Commercial,3938900
201406,78747,Irrigation - Commercial,4937000
201707,78735,Austin Water Utility,0
201707,78724,City of Austin,8595200
201403,78701,Irrigation - Commercial,1148500
201601,78701,Irrigation - City of Austin,613100
201206,78724,Irrigation - City of Austin,0
201204,78741,Irrigation - City of Austin,1316700
201406,78741,Large Volume,34328000
201502,78741,Austin Water Utility,0
201703,78712,Irrigation - Large Volume,15745000
201401,78613,Commercial,4073100
201610,78737,Wholesale,657300
201402,78746,Irrigation - City of Austin,49300
201202,78737,Irrigation - Commercial,136000
201202,78750,Irrigation - Commercial,3161200
201605,78754,Austin Water Utility,236000
201301,78739,Wholesale,11383900
201407,78731,Austin Water Utility,0
201209,78742,Irrigation - Commercial,48300
201506,78746,Austin Water Utility,500700
201510,78746,Irrigation - City of Austin,402300
201310,78717,City of Austin,0
201312,78751,Irrigation - City of Austin,900
201309,78744,Irrigation - City of Austin,2582300
201610,78735,Austin Water Utility,0
201407,78727,Irrigation - City of Austin,0
201407,78735,Large Volume,25354000
201408,78757,Irrigation - City of Austin,0
201612,78728,Wholesale,38298600
201306,78725,Large Volume,31828000
201207,78752,Irrigation - City of Austin,0
201403,78702,Irrigation - Commercial,1077200
201203,78750,Irrigation - Commercial,3178600
201412,78653,Wholesale,0
201702,78729,Irrigation - City of Austin,0
201702,78681,Commercial,430500
201706,78737,Wholesale,657600
201512,78747,Austin Water Utility,0
201702,78729,Commercial,9803100
201412,78723,Austin Water Utility,49000
201205,78704,Irrigation - Commercial,5006400
201204,78737,Wholesale,420200
201309,78726,City of Austin,23000
201209,78756,Austin Water Utility,147400
201505,78744,City of Austin,507600
201608,78712,Irrigation - Large Volume,21593000
201203,78701,Irrigation - City of Austin,309800
201311,78744,City of Austin,351400
201403,78725,Wholesale,974500
201311,78739,Wholesale,7786200
201609,78749,Irrigation - City of Austin,42400
201610,78701,City of Austin,22499600
