Year Month,Postal Code,Customer Class,Total Gallons
201607,78729,Irrigation - City of Austin,0
201411,78704,Commercial,37058300
201202,78717,Commercial,3761700
201203,78653,Wholesale,0
201305,78727,City of Austin,29200
201301,78719,Irrigation - City of Austin,168100
201411,78754,City of Austin,384800
201304,78719,Austin Water Utility,398800
201410,78756,Austin Water Utility,33700
201612,78739,Wholesale,15825900
201506,78754,Large Volume,141682500
201512,78701,Irrigation - Commercial,1606300
201709,78704,Austin Water Utility,3900
201501,78724,City of Austin,6217300
201608,78735,City of Austin,201000
201403,78751,Irrigation - City of Austin,3700
201603,78742,Irrigation - Commercial,0
201203,78721,Irrigation - Commercial,242700
201201,78754,Austin Water Utility,96100
201608,78737,Wholesale,807800
201705,78754,Large Volume,177278600
201404,78757,Irrigation - City of Austin,100
201307,78653,Wholesale,0
201511,78719,Wholesale,1836100
201311,78701,Irrigation - Commercial,1910400
201402,78717,City of Austin,7600
201406,78705,City of Austin,267400
201309,78704,Austin Water Utility,19700
201607,78617,Irrigation - City of Austin,0
201404,78653,Wholesale,0
201211,78704,Commercial,34994700
201410,78729,City of Austin,10300
201607,78741,City of Austin,2190400
201511,78756,Irrigation - City of Austin,0
201208,78741,Austin Water Utility,17900
201203,78702,Austin Water Utility,64200
201404,78613,City of Austin,0
201607,78751,Irrigation - City of Austin,14400
201312,78759,Irrigation - City of Austin,100
201704,78748,Irrigation - City of Austin,0
201409,78701,Irrigation - Commercial,5425800
201212,78703,Irrigation - City of Austin,142600
201511,78744,City of Austin,426800
201704,78701,Irrigation - Commercial,2786000
201504,78719,Irrigation - City of Austin,20000
201701,78705,City of Austin,60100
201201,78729,Commercial,9612800
201203,78746,Wholesale,58437800
201504,78749,Irrigation - City of Austin,100
201206,78756,Irrigation - City of Austin,0
201604,78741,Irrigation - Commercial,2924300
201303,78719,City of Austin,2378000
201306,78744,Austin Water Utility,492100
201611,78717,Austin Water Utility,100
201209,78717,Commercial,7082300
201303,78730,Irrigation - Commercial,2043400
201603,78741,City of Austin,336700
201405,78719,Irrigation - Commercial,674700
201410,78723,Irrigation - City of Austin,317900
201204,78748,Wholesale,594000
201512,78652,Commercial,282300
201602,78726,City of Austin,11000
201602,78744,City of Austin,334900
201211,78617,City of Austin,5658100
201601,78617,City of Austin,254700
201411,78725,Wholesale,893000
201402,78756,Austin Water Utility,25600
201304,78726,Austin Water Utility,0
201612,78724,Austin Water Utility,1054400
201406,78702,Irrigation - City of Austin,651200
201603,78726,City of Austin,13000
201310,78719,Wholesale,1799500
201302,78724,Irrigation - Commercial,1826300
201306,78729,Irrigation - Commercial,7067700
201210,78704,Austin Water Utility,19400
201204,78725,City of Austin,27000
201705,78613,Irrigation - Commercial,1503300
201707,78735,Large Volume,21422000
201509,78727,City of Austin,32600
201604,78748,Wholesale,460700
201603,78705,Irrigation - City of Austin,5000
201602,78749,Irrigation - City of Austin,15200
201204,78735,Large Volume,18171000
201407,78746,Commercial,13953500
201309,78721,Irrigation - City of Austin,18100
201410,78717,City of Austin,6000
201510,78723,Irrigation - City of Austin,236300
201603,78725,City of Austin,340300
201701,78758,Irrigation - City of Austin,1323100
201609,78758,Irrigation - City of Austin,2868500
201502,78719,City of Austin,2731700
201307,78717,Irrigation - Commercial,9518100
201203,78719,Wholesale,752600
201408,78617,Austin Water Utility,154400
201502,78754,Large Volume,109508000
201506,78724,Irrigation - Commercial,4094700
201404,78719,Irrigation - Commercial,617900
201402,78731,Austin Water Utility,0
201209,78729,Wholesale,54924500
201506,78617,City of Austin,8344000
201303,78613,Irrigation - Commercial,730500
201403,78724,Irrigation - City of Austin,0
201206,78617,Austin Water Utility,122500
201509,78724,Austin Water Utility,126700
201602,78652,Irrigation - Commercial,547200
201604,78744,Irrigation - City of Austin,1775200
201510,78746,Austin Water Utility,524800
201312,78617,City of Austin,5745400
201708,78613,Commercial,4422800
201401,78741,Large Volume,26350000
201509,78739,Wholesale,31434100
201206,78737,Irrigation - Commercial,167500
201208,78717,City of Austin,0
201604,78660,Irrigation - Commercial,1496700
201203,78729,Irrigation - Commercial,2670700
201708,78735,Austin Water Utility,0
201207,78717,Irrigation - Commercial,10979900
201507,78752,Austin Water Utility,0
201202,78617,Irrigation - City of Austin,0
201309,78717,City of Austin,0
201311,78726,Irrigation - Commercial,3858100
201204,78722,Irrigation - City of Austin,639700
201509,78717,Irrigation - Commercial,9962000
201210,78719,Irrigation - City of Austin,214800
201404,78719,Wholesale,1216500
201608,78746,Austin Water Utility,635600
201510,78701,Irrigation - City of Austin,992200
201403,78741,City of Austin,440700
201208,78754,Austin Water Utility,92800
201406,78660,Wholesale,26723500
201606,78744,City of Austin,391300
201607,78724,Austin Water Utility,2091000
201211,78735,Large Volume,42492000
201703,78717,City of Austin,159400
201509,78652,Commercial,659300
201509,78652,Irrigation - Commercial,896100
201506,78756,Irrigation - City of Austin,0
201508,78732,Austin Water Utility,0
201404,78729,Commercial,11721100
201405,78719,Irrigation - City of Austin,332300
201308,78758,Irrigation - City of Austin,5806000
201610,78731,Austin Water Utility,0
201503,78742,Irrigation - Commercial,54600
201404,78717,Irrigation - City of Austin,32600
201301,78749,Irrigation - City of Austin,10600
201304,78704,Irrigation - City of Austin,550000
201611,78739,Wholesale,17730500
201207,78704,Irrigation - Commercial,7235500
201509,78613,Irrigation - Commercial,2722500
201503,78729,Irrigation - City of Austin,0
201303,78754,Irrigation - City of Austin,0
201610,78617,Irrigation - City of Austin,0
201601,78741,Large Volume,28272000
201304,78731,Austin Water Utility,0
201205,78754,Austin Water Utility,90700
201404,78752,Irrigation - City of Austin,0
201405,78729,Irrigation - City of Austin,0
201511,78725,City of Austin,306500
201311,78746,Wholesale,96011000
201202,78704,Austin Water Utility,43300
201707,78741,Austin Water Utility,14700
201208,78719,Wholesale,1612800
201701,78735,Large Volume,19569000
201602,78758,Irrigation - City of Austin,1338300
201708,78759,Irrigation - City of Austin,1800
201611,78748,Wholesale,513100
201402,78754,Austin Water Utility,167900
201202,78721,Irrigation - Commercial,190100
201209,78717,Irrigation - City of Austin,30800
201405,78724,Irrigation - City of Austin,0
201301,78758,Irrigation - City of Austin,1938900
201411,78723,Irrigation - Commercial,4252900
201302,78735,Large Volume,21651000
201704,78752,Irrigation - City of Austin,0
201211,78704,City of Austin,2013800
201208,78746,Irrigation - Commercial,6961300
201703,78703,Irrigation - City of Austin,232500
201402,78749,Irrigation - City of Austin,1700
201610,78726,Commercial,7904300
201709,78701,Irrigation - Commercial,4231100
201704,78653,Wholesale,0
201401,78754,Austin Water Utility,75000
201706,78704,Irrigation - Commercial,6181400
201205,78727,City of Austin,25400
201312,78719,City of Austin,4881300
201706,78719,Irrigation - Commercial,1225800
201201,78727,City of Austin,27000
201403,78753,Irrigation - City of Austin,75600
201311,78756,Irrigation - City of Austin,0
201607,78746,Irrigation - City of Austin,86000
201704,78705,City of Austin,68100
201609,78719,Wholesale,1878300
201404,78703,Irrigation - City of Austin,84900
201302,78751,Irrigation - City of Austin,680100
201207,78746,Irrigation - Commercial,6618300
201609,78721,Irrigation - City of Austin,13700
201301,78750,Irrigation - City of Austin,116500
201708,78613,Austin Water Utility,25300
201604,78744,Austin Water Utility,227600
201602,78701,Irrigation - Commercial,1041200
201305,78728,Irrigation - Commercial,3021700
201609,78712,Irrigation - Large Volume,21156000
201507,78725,Wholesale,2163400
201505,78617,Austin Water Utility,106300
201607,78717,Austin Water Utility,0
201510,78751,Irrigation - City of Austin,4900
201402,78728,Irrigation - Commercial,1479500
201604,78681,Commercial,752400
201409,78723,Austin Water Utility,50400
201602,78752,Irrigation - City of Austin,0
201310,78724,Irrigation - City of Austin,0
201609,78741,Irrigation - Commercial,5439600
201701,78681,Commercial,837500
201406,78723,Austin Water Utility,46800
201503,78746,Commercial,9528400
201409,78617,Irrigation - City of Austin,0
201201,78739,Wholesale,10531500
201706,78705,Irrigation - City of Austin,77800
201408,78746,City of Austin,1609000
201603,78741,Large Volume,26639000
201512,78660,Wholesale,20763400
201610,78747,Austin Water Utility,0
201512,78725,Large Volume,38566900
201511,78613,Commercial,3664200
201508,78756,Irrigation - City of Austin,0
201611,78681,Commercial,658500
201611,78741,City of Austin,440000
201201,78704,Irrigation - City of Austin,71500
201706,78703,Austin Water Utility,10600
201312,78744,Austin Water Utility,1070900
201404,78719,Austin Water Utility,662800
201505,78724,City of Austin,3424900
201510,78741,Austin Water Utility,0
201304,78701,Austin Water Utility,150000
201309,78726,Austin Water Utility,0
201307,78746,Wholesale,127768900
201403,78725,Large Volume,34556000
201707,78750,Irrigation - City of Austin,159900
201411,78729,City of Austin,8800
201304,78726,City of Austin,11000
201609,78702,Irrigation - City of Austin,946900
201605,78750,Irrigation - City of Austin,100
201503,78653,Wholesale,0
201206,78701,Irrigation - City of Austin,871500
201410,78701,Irrigation - City of Austin,638600
201305,78613,Commercial,3610100
201302,78746,Irrigation - City of Austin,288600
201312,78739,Irrigation - City of Austin,100
201409,78724,Irrigation - Commercial,7745800
201507,78742,Austin Water Utility,0
201509,78717,Irrigation - City of Austin,0
201204,78719,City of Austin,2812100
201605,78735,Large Volume,21631000
201709,78749,Irrigation - City of Austin,89900
201607,78701,City of Austin,14832900
201505,78727,Irrigation - City of Austin,10600
201510,78739,Irrigation - City of Austin,13000
201701,78756,Irrigation - City of Austin,0
201304,78724,Irrigation - City of Austin,0
201304,78719,Irrigation - Commercial,1076200
201606,78754,Austin Water Utility,221600
201604,78613,Irrigation - Commercial,1987500
201701,78723,Austin Water Utility,31200
201501,78617,Irrigation - City of Austin,0
201412,78722,Irrigation - Commercial,371000
201208,78751,City of Austin,2081800
201407,78730,Irrigation - Commercial,4448000
201506,78725,Large Volume,35783500
201503,78754,Large Volume,109013100
201703,78726,Irrigation - Commercial,1886300
201608,78726,Austin Water Utility,0
201405,78725,Irrigation - Commercial,96000
201510,78704,Irrigation - City of Austin,543700
201312,78741,Austin Water Utility,65900
201207,78725,Irrigation - Commercial,477200
201412,78725,Wholesale,670900
201301,78701,Irrigation - City of Austin,604700
201207,78726,Irrigation - Commercial,4255300
201303,78653,Wholesale,0
201708,78739,Irrigation - City of Austin,3300
201604,78728,Wholesale,35524300
201701,78754,Large Volume,163941800
201509,78732,Austin Water Utility,0
201210,78741,Austin Water Utility,37400
201410,78705,City of Austin,132800
201410,78729,Commercial,13545900
201405,78731,Austin Water Utility,0
